Порівняння методів (масковані метрики, лише непрозорі пікселі)
================================================================================
Зображень   : 1449
U-Net у наборі: ні (запустіть eval_model.py)

MAE кута (градуси), нижче — краще
size     n    Sobel-lum     Sobel-α  Bevel(EDT)
  32px   274      53.735     48.904     36.997
  48px   275      51.034     44.846     34.209
  64px   308      49.610     43.932     35.111
  80px   316      47.594     42.482     35.136
  96px   276      46.901     41.472     34.978
  ALL    1449     49.704     44.261     35.277

Кут (1 − cos θ), нижче — краще
size     n    Sobel-lum     Sobel-α  Bevel(EDT)
  32px   274      0.4737     0.4092     0.2546
  48px   275      0.4393     0.3509     0.2199
  64px   308      0.4241     0.3386     0.2310
  80px   316      0.4007     0.3206     0.2313
  96px   276      0.3927     0.3047     0.2247
  ALL    1449     0.4253     0.3439     0.2322

L1 (нормалі у [-1,1]), нижче — краще
size     n    Sobel-lum     Sobel-α  Bevel(EDT)
  32px   274      0.4422     0.4077     0.3058
  48px   275      0.4198     0.3779     0.2879
  64px   308      0.4053     0.3704     0.2960
  80px   316      0.3883     0.3580     0.2972
  96px   276      0.3809     0.3505     0.2984
  ALL    1449     0.4067     0.3724     0.2970

