epoch,train_loss,train_l1,train_angular,val_loss,val_l1,val_angular,val_mae,val_psnr,val_ssim,val_mae_deg,lr,epoch_time_s
1,0.276311,0.091144,0.160009,0.208377,0.059928,0.126807,0.059928,22.3440,0.810895,7.2655,3.12e-05,135.2
2,0.199125,0.056508,0.121517,0.196142,0.055770,0.120074,0.055770,22.7922,0.830293,6.8797,3.46e-05,130.0
3,0.184847,0.051726,0.113005,0.185837,0.052151,0.114188,0.052151,23.2695,0.840774,6.5425,4.03e-05,127.4
4,0.175611,0.049078,0.107074,0.172032,0.048024,0.105153,0.048024,23.6412,0.847988,6.0248,4.81e-05,122.5
5,0.167502,0.046701,0.101898,0.163448,0.045443,0.099606,0.045443,23.8956,0.854730,5.7070,5.79e-05,122.5
6,0.157975,0.043928,0.095708,0.156222,0.043299,0.094994,0.043299,24.1885,0.860175,5.4428,6.95e-05,122.0
7,0.155380,0.043311,0.094113,0.157920,0.043884,0.096339,0.043884,24.2542,0.863259,5.5198,8.28e-05,123.5
8,0.152049,0.042413,0.092073,0.150577,0.041922,0.091412,0.041922,24.4740,0.868547,5.2375,9.75e-05,125.1
9,0.146310,0.040649,0.088468,0.168074,0.047981,0.102949,0.047981,24.1383,0.866909,5.8985,1.13e-04,124.2
10,0.143745,0.039994,0.086919,0.142843,0.039401,0.086824,0.039401,24.6782,0.873597,4.9747,1.30e-04,124.5
11,0.140013,0.038963,0.084518,0.148316,0.041778,0.090057,0.041778,24.8160,0.877291,5.1599,1.47e-04,127.2
12,0.138869,0.038635,0.083935,0.167627,0.048196,0.102641,0.048196,23.9613,0.873726,5.8809,1.65e-04,139.4
13,0.133483,0.036939,0.080530,0.134760,0.036996,0.081813,0.036996,25.0195,0.882906,4.6875,1.83e-04,127.7
14,0.133234,0.036994,0.080366,0.156636,0.043416,0.097033,0.043416,24.8256,0.882337,5.5596,2.00e-04,130.4
15,0.130388,0.036237,0.078496,0.138483,0.038017,0.084683,0.038017,25.1610,0.885765,4.8520,2.17e-04,132.4
16,0.127175,0.035249,0.076513,0.135150,0.037123,0.082330,0.037123,25.1484,0.886490,4.7172,2.33e-04,130.3
17,0.128983,0.035818,0.077735,0.139835,0.038460,0.085729,0.038460,25.0108,0.883847,4.9119,2.47e-04,128.9
18,0.121460,0.033599,0.072804,0.126981,0.034312,0.077376,0.034312,25.2982,0.888488,4.4333,2.60e-04,126.3
