epoch,train_loss,train_l1,train_ang,val_loss,val_l1,val_ang,val_mae_deg,lr,epoch_time_s
1,0.546601,0.368927,0.355349,0.388144,0.279143,0.218003,33.4361,3.76e-05,64.3
2,0.371306,0.269301,0.204010,0.361270,0.261372,0.199795,31.4363,7.51e-05,50.0
3,0.350992,0.256354,0.189275,0.354321,0.257472,0.193698,30.9440,1.13e-04,50.8
4,0.336929,0.247137,0.179584,0.332054,0.241049,0.182010,29.1700,1.50e-04,51.7
5,0.323953,0.237805,0.172295,0.312567,0.228001,0.169134,27.6360,1.88e-04,50.0
6,0.312352,0.229699,0.165306,0.305080,0.223253,0.163654,26.9432,2.25e-04,50.6
7,0.305158,0.224711,0.160894,0.292160,0.214924,0.154473,25.9649,2.63e-04,50.0
8,0.296818,0.219217,0.155202,0.293079,0.214898,0.156361,26.0034,3.00e-04,50.2
9,0.294028,0.216985,0.154085,0.295044,0.215690,0.158708,26.2268,3.00e-04,49.7
10,0.290274,0.214527,0.151493,0.294384,0.213940,0.160888,26.1489,2.99e-04,50.3
11,0.286279,0.211855,0.148848,0.276846,0.204190,0.145313,24.7438,2.99e-04,50.5
12,0.279897,0.207826,0.144141,0.289990,0.211711,0.156557,25.7659,2.98e-04,50.8
13,0.277867,0.206454,0.142827,0.270234,0.200130,0.140207,24.2131,2.96e-04,50.2
14,0.274884,0.204527,0.140714,0.274262,0.203152,0.142221,24.5886,2.95e-04,50.4
15,0.272465,0.202947,0.139037,0.270887,0.200906,0.139962,24.2520,2.93e-04,49.4
16,0.271003,0.201982,0.138043,0.277558,0.204281,0.146552,24.7552,2.91e-04,49.2
17,0.266562,0.199179,0.134766,0.280905,0.206737,0.148337,25.1095,2.89e-04,49.4
18,0.265050,0.198181,0.133739,0.262655,0.194018,0.137275,23.5765,2.86e-04,49.2
19,0.263930,0.197430,0.132999,0.262339,0.194489,0.135702,23.5699,2.83e-04,50.9
20,0.264107,0.197447,0.133322,0.257481,0.191864,0.131234,23.1727,2.80e-04,51.0
21,0.259673,0.194695,0.129957,0.260188,0.192768,0.134839,23.4303,2.77e-04,50.7
22,0.258366,0.193854,0.129024,0.255818,0.189935,0.131766,23.0331,2.73e-04,51.8
23,0.256495,0.192681,0.127628,0.254188,0.189066,0.130245,22.9069,2.69e-04,52.5
24,0.256872,0.192764,0.128214,0.251473,0.186992,0.128963,22.6716,2.65e-04,50.7
25,0.254900,0.191577,0.126646,0.251532,0.187278,0.128507,22.6873,2.61e-04,50.7
26,0.252805,0.190036,0.125539,0.278434,0.203243,0.150382,24.8328,2.57e-04,50.6
27,0.253674,0.190548,0.126252,0.255320,0.189483,0.131674,23.0051,2.52e-04,50.1
28,0.250979,0.188894,0.124172,0.252909,0.188410,0.128998,22.8011,2.47e-04,50.6
29,0.247845,0.186914,0.121862,0.255813,0.190347,0.130931,23.0487,2.42e-04,52.1
30,0.249236,0.187741,0.122991,0.247917,0.184974,0.125887,22.3824,2.37e-04,51.7
31,0.246453,0.185921,0.121065,0.246633,0.183767,0.125734,22.2838,2.31e-04,51.5
32,0.244122,0.184447,0.119352,0.240483,0.180831,0.119304,21.7745,2.26e-04,51.3
33,0.243912,0.184177,0.119470,0.256614,0.191183,0.130862,23.1158,2.20e-04,50.9
34,0.243113,0.183613,0.119000,0.236284,0.177457,0.117654,21.4408,2.14e-04,51.0
35,0.243557,0.183902,0.119311,0.242832,0.181916,0.121833,21.9743,2.08e-04,50.7
36,0.240691,0.182066,0.117249,0.234676,0.176459,0.116433,21.2957,2.02e-04,51.1
37,0.239344,0.181187,0.116315,0.236246,0.177677,0.117138,21.4388,1.96e-04,50.8
38,0.237252,0.179777,0.114949,0.237635,0.178599,0.118071,21.5457,1.90e-04,51.0
39,0.236726,0.179440,0.114573,0.237516,0.179002,0.117030,21.5556,1.84e-04,51.0
40,0.236076,0.178900,0.114352,0.233472,0.175907,0.115131,21.2071,1.77e-04,51.8
41,0.234887,0.178109,0.113556,0.233277,0.175658,0.115237,21.1896,1.71e-04,52.5
42,0.233827,0.177415,0.112824,0.246800,0.185156,0.123287,22.3843,1.64e-04,50.6
43,0.232888,0.176876,0.112023,0.234609,0.176275,0.116668,21.3084,1.58e-04,51.3
44,0.231446,0.175848,0.111196,0.234092,0.176934,0.114316,21.2584,1.51e-04,51.7
45,0.231513,0.175791,0.111444,0.230747,0.174049,0.113396,20.9922,1.45e-04,51.3
46,0.230429,0.175055,0.110748,0.239471,0.179244,0.120453,21.6997,1.39e-04,51.6
47,0.230146,0.174805,0.110682,0.228023,0.172149,0.111750,20.7378,1.32e-04,51.0
48,0.228445,0.173797,0.109297,0.230865,0.174395,0.112940,20.9946,1.26e-04,50.4
49,0.227492,0.173117,0.108750,0.233820,0.176176,0.115288,21.2689,1.19e-04,50.2
50,0.226538,0.172429,0.108218,0.230641,0.174099,0.113085,20.9884,1.13e-04,51.1
51,0.225373,0.171653,0.107439,0.224822,0.169930,0.109786,20.4730,1.07e-04,51.5
52,0.224700,0.171242,0.106915,0.226302,0.170958,0.110688,20.6052,1.01e-04,51.6
